EVA_NR;DS100;IFOPT;NAME;Longitude;Latitude;Betreiber_Name
8000001;KA;de:05334:1008;Aachen Hbf;6,091499;50,7678;DB Station und Service AG
8000002;TA;de:08136:1000;Aalen Hbf;10,096271;48,841013;DB Station und Service AG
8000004;HA;de:05774:7131;Altenbeken;8,943319;51,766433;DB Station und Service AG
8000007;FALZ;de:07331:55;Alzey;8,109749;49,7502;DB Station und Service AG
8000009;NAN;de:09561:11000;Ansbach;10,578239;49,298032;DB Station und Service AG
8000010;NAH;de:09661:99082;Aschaffenburg Hbf;9,143697;49,980557;DB Station und Service AG
8000011;AAG;de:01057:3365;Ascheberg(Holst);10,339481;54,148462;DB Station und Service AG
8000012;KAU;de:05382:59901;Au(Sieg);7,656537;50,773765;DB Station und Service AG
8000013;MA;de:09761:100;Augsburg Hbf;10,88557;48,365441;DB Station und Service AG
8000014;TAU;de:08436:1000;Aulendorf;9,644046;47,953052;DB Station und Service AG
8000015;FBA;de:06432:8563;Babenhausen(Hess);8,957182;49,957963;DB Station und Service AG
8000016;TB;de:08119:7600;Backnang;9,425989;48,942676;DB Station und Service AG
8000017;TBF;de:08125:519;Bad Friedrichshall Hbf;9,199771;49,231571;DB Station und Service AG
8000019;HBHA;de:03153:4946;Bad Harzburg;10,555444;51,888116;DB Station und Service AG
8000020;FBHF;de:06632:202026;Bad Hersfeld;9,716182;50,869632;DB Station und Service AG
8000021;SBKN;de:07133:8178;Bad Kreuznach;7,866435;49,842399;DB Station und Service AG
8000022;HNDF;de:03257:505;Bad Nenndorf;9,378603;52,343735;DB Station und Service AG
8000023;AO;de:01062:37979;Bad Oldesloe;10,3825414;53,8053902;DB Station und Service AG
8000025;NBA;de:09461:20010;Bamberg;10,899489;49,900759;DB Station und Service AG
8000026;RB;ch:23005:6;Basel Bad Bf;7,607805;47,567288;Schweizerischen Bundesbahnen
8000027;NSCH;de:09376:7410;Schwandorf;12,103802;49,3263803;DB Station und Service AG
8000028;NBY;de:09462:22000;Bayreuth Hbf;11,579985;49,949616;DB Station und Service AG
8000029;FB;de:06632:202110;Bebra;9,797788;50,969568;DB Station und Service AG
8000030;KBE;de:05362:89101;Bedburg(Erft);6,572615;50,987478;DB Station und Service AG
8000031;FBH;de:06431:236;Bensheim;8,616717;49,681329;DB Station und Service AG
8000032;NS;de:09662:28058;Schweinfurt Hbf;10,212919;50,035313;DB Station und Service AG
8000033;KSWE;de:05954:8174;Schwelm;7,289681;51,290526;DB Station und Service AG
8000034;EBZ;de:07132:090171;Betzdorf(Sieg);7,87005;50,789294;DB Station und Service AG
8000036;EBILP;de:05711:5500;Bielefeld Hbf;8,532722;52,029261;DB Station und Service AG
8000037;ESRT;de:05978:63583;Schwerte(Ruhr);7,55896;51,442281;DB Station und Service AG
8000038;TBM;de:08118:1400;Bietigheim-Bissingen;9,137557;48,947933;DB Station und Service AG
8000039;FBGK;de:07339:8183;Bingen(Rhein) Hbf;7,884263;49,968729;DB Station und Service AG
8000040;EBCH;de:05554:60834;Bocholt;6,620426;51,83412;DB Station und Service AG
8000041;EBO;de:05911:5194;Bochum Hbf;7,223275;51,478609;DB Station und Service AG
8000042;RSE;de:08225:8203;Seckach;9,338469;49,441157;DB Station und Service AG
8000043;HSSN;de:03153:5780;Seesen;10,173898;51,887263;DB Station und Service AG
8000044;KB;de:05314:61101;Bonn Hbf;7,097136;50,732008;DB Station und Service AG
8000045;KBOP;de:07140:060039;Boppard Hbf;7,586102;50,231413;DB Station und Service AG
8000046;ESIE;de:05970:10097;Siegen Hbf;8,016508;50,875939;DB Station und Service AG
8000047;EBTH,EBTHP;de:05512:3335;Bottrop Hbf;6,936684;51,50945;DB Station und Service AG
8000048;EBWE;de:05711:5059;Brackwede;8,498426;51,997378;DB Station und Service AG
8000049;HBS;de:03101:178;Braunschweig Hbf;10,540295;52,252218;DB Station und Service AG
8000050;HB;de:04011:13927;Bremen Hbf;8,813834;53,083481;DB Station und Service AG
8000051;HBH;de:04012:14418;Bremerhaven Hbf;8,599555;53,534912;DB Station und Service AG
8000053;RBT;de:08215:1551;Bretten;8,693448;49,0369;DB Station und Service AG
8000054;EBRW;de:05958:60005;Brilon Wald;8,576073;51,349159;DB Station und Service AG
8000055;RBR;de:08215:1856;Bruchsal;8,589649;49,124622;DB Station und Service AG
8000056;ABLZ;de:03353:8000056;Buchholz(Nordheide);9,876266;53,324683;DB Station und Service AG
8000057;MBU;de:09777:1000;Buchloe;10,716217;48,033723;DB Station und Service AG
8000058;ABCH;de:01053:8000058;Büchen;10,623298;53,474972;DB Station und Service AG
8000059;HBDE;de:05758:1120;Bünde(Westf);8,573876;52,202075;DB Station und Service AG
8000060;KSIH;de:07143:040001;Siershahn;7,77138;50,485857;DB Station und Service AG
8000061;FBNG;de:06535:11187;Burg-u. Nieder Gemünden;9,047604;50,691113;DB Station und Service AG
8000062;EBFT;de:05566:16548;Steinfurt-Burgsteinfurt;7,32934;52,147384;DB Station und Service AG
8000063;TCW;de:08235:9030;Calw;8,741854;48,714682;DB Station und Service AG
8000064;HC;de:03351:50;Celle;10,0626343;52,6209628;DB Station und Service AG
8000065;FCOE;de:06534:11080;Cölbe;8,787365;50,848159;DB Station und Service AG
8000066;ECMF;de:05558:16602;Coesfeld(Westf);7,16388;51,939431;DB Station und Service AG
8000067;TC;de:08127:21001;Crailsheim;10,064326;49,137872;DB Station und Service AG
8000068;FD;de:06411:4734;Darmstadt Hbf;8,629636;49,872503;DB Station und Service AG
8000069;TSIG;de:08437:42111;Sigmaringen;9,221851;48,086984;DB Station und Service AG
8000070;HD;de:03401:19646;Delmenhorst;8,629758;53,052792;DB Station und Service AG
8000071;HDBG;de:03254:21906;Derneburg(Han);10,143719;52,096851;DB Station und Service AG
8000072;MSBI;de:09277:80490;Simbach(Inn);13,023012;48,262726;DB RegioNetz Infrastruktur GmbH
8000073;RSI;de:08335:6588;Singen(Hohentwiel);8,840383;47,758438;DB Station und Service AG
8000074;FDIL;de:06532:11005;Dillenburg;8,294088;50,734883;DB Station und Service AG
8000075;SDL;de:10044:8000075;Dillingen(Saar);6,72215;49,35271;DB Station und Service AG
8000076;ESOT;de:05974:11246;Soest;8,104589;51,578419;DB Station und Service AG
8000077;RDO;de:08326:6537;Donaueschingen;8,498919;47,947786;DB Station und Service AG
8000078;MDT;de:09779:5500;Donauwörth;10,771443;48,714026;DB Station und Service AG
8000080;EDO,EDO N;de:05913:131;Dortmund Hbf;7,45929;51,517896;DB Station und Service AG
8000081;EDDP,EDDPH,EDDPT;de:05913:196;Dortmund-Dorstfeld;7,424864;51,509376;DB Station und Service AG
8000082;KDFF,KDFFH;de:05111:18488;Düsseldorf Flughafen;6,786836;51,292009;DB Station und Service AG
8000083;EDUL,EDULH;de:05558:15351;Dülmen;7,295765;51,827676;DB Station und Service AG
8000084;KDN,KDN P;de:05358:2286;Düren;6,482451;50,809517;DB Station und Service AG
8000085;KD;de:05111:18235;Düsseldorf Hbf;6,794319;51,219962;DB Station und Service AG
8000086;EDG;de:05112:16032;Duisburg Hbf;6,775903;51,429785;DB Station und Service AG
8000087;KSO;de:05122:13800;Solingen Hbf;7,004187;51,160766;DB Station und Service AG
8000088;HSO;de:03358:85426;Soltau(Han);9,831109;52,983017;DB Station und Service AG
8000089;AST;de:03359:8000089;Stade;9,477008;53,596143;DB Station und Service AG
8000090;HEBG;de:06636:206285;Eichenberg;9,921482;51,374823;DB Station und Service AG
8000091;NSTN;de:09575:14350;Steinach(b Rothenburg ob der Tauber);10,273535;49,453218;DB Station und Service AG
8000092;AEL;de:01056:97960;Elmshorn;9,659408;53,754025;DB Station und Service AG
8000093;HELZ;de:03254:21616;Elze(Han);9,746894;52,120147;DB Station und Service AG
8000094;KENR;de:07138:10110;Engers;7,546827;50,42598;DB Station und Service AG
8000095;NST;de:09263:2600;Straubing;12,574094;48,876978;DB Station und Service AG
8000096;TS;de:08111:6115;Stuttgart Hbf;9,181635;48,784084;DB Station und Service AG
